110mH,Men,12.39,1377.0
300m,Men,29.76,1377.0
400m,Men,42.27,1377.0
400mH,Men,45.28,1377.0
4x100m,Men,36.12,1377.0
4x200m,Men,1:15.98,1377.0
4x400m,Men,2:48.47,1377.0
200m,Men,19.04,1376.0
300m,Men,29.77,1376.0
400m,Men,42.28,1376.0
400mH,Men,45.29,1376.0
4x100m,Men,36.13,1376.0
4x200m,Men,1:16.01,1376.0
4x400m,Men,2:48.53,1376.0
110mH,Men,12.4,1375.0
300m,Men,29.78,1375.0
400m,Men,42.3,1375.0
400mH,Men,45.31,1375.0
4x100m,Men,36.14,1375.0
4x200m,Men,1:16.03,1375.0
4x400m,Men,2:48.59,1375.0
100m,Men,9.53,1374.0
200m,Men,19.05,1374.0
300m,Men,29.79,1374.0
400m,Men,42.31,1374.0
400mH,Men,45.33,1374.0
4x100m,Men,36.15,1374.0
4x200m,Men,1:16.05,1374.0
4x400m,Men,2:48.65,1374.0
110mH,Men,12.41,1373.0
300m,Men,29.8,1373.0
400m,Men,42.32,1373.0
400mH,Men,45.35,1373.0
4x100m,Men,36.17,1373.0
4x200m,Men,1:16.08,1373.0
4x400m,Men,2:48.71,1373.0
200m,Men,19.06,1372.0
300m,Men,29.81,1372.0
400m,Men,42.34,1372.0
400mH,Men,45.37,1372.0
4x100m,Men,36.18,1372.0
4x200m,Men,1:16.10,1372.0
4x400m,Men,2:48.77,1372.0
110mH,Men,12.42,1371.0
200m,Men,19.07,1371.0
300m,Men,29.82,1371.0
400m,Men,42.35,1371.0
400mH,Men,45.39,1371.0
4x100m,Men,36.19,1371.0
4x200m,Men,1:16.13,1371.0
4x400m,Men,2:48.83,1371.0
100m,Men,9.54,1370.0
300m,Men,29.83,1370.0
400m,Men,42.36,1370.0
400mH,Men,45.4,1370.0
4x100m,Men,36.2,1370.0
4x200m,Men,1:16.15,1370.0
4x400m,Men,2:48.89,1370.0
110mH,Men,12.43,1369.0
200m,Men,19.08,1369.0
300m,Men,29.84,1369.0
400m,Men,42.38,1369.0
400mH,Men,45.42,1369.0
4x100m,Men,36.21,1369.0
4x200m,Men,1:16.18,1369.0
4x400m,Men,2:48.95,1369.0
300m,Men,29.85,1368.0
400m,Men,42.39,1368.0
400mH,Men,45.44,1368.0
4x100m,Men,36.23,1368.0
4x200m,Men,1:16.20,1368.0
4x400m,Men,2:49.01,1368.0
100m,Men,9.55,1367.0
110mH,Men,12.44,1367.0
200m,Men,19.09,1367.0
300m,Men,29.86,1367.0
400m,Men,42.4,1367.0
400mH,Men,45.46,1367.0
4x100m,Men,36.24,1367.0
4x200m,Men,1:16.23,1367.0
4x400m,Men,2:49.08,1367.0
200m,Men,19.1,1366.0
300m,Men,29.87,1366.0
400m,Men,42.42,1366.0
400mH,Men,45.48,1366.0
4x100m,Men,36.25,1366.0
4x200m,Men,1:16.25,1366.0
4x400m,Men,2:49.14,1366.0
110mH,Men,12.45,1365.0
300m,Men,29.88,1365.0
400m,Men,42.43,1365.0
400mH,Men,45.49,1365.0
4x100m,Men,36.26,1365.0
4x200m,Men,1:16.28,1365.0
4x400m,Men,2:49.20,1365.0
200m,Men,19.11,1364.0
300m,Men,29.89,1364.0
400m,Men,42.44,1364.0
400mH,Men,45.51,1364.0
4x100m,Men,36.28,1364.0
4x200m,Men,1:16.30,1364.0
4x400m,Men,2:49.26,1364.0
100m,Men,9.56,1363.0
110mH,Men,12.46,1363.0
300m,Men,29.9,1363.0
400m,Men,42.46,1363.0
400mH,Men,45.53,1363.0
4x100m,Men,36.29,1363.0
4x200m,Men,1:16.33,1363.0
4x400m,Men,2:49.32,1363.0
200m,Men,19.12,1362.0
300m,Men,29.91,1362.0
400m,Men,42.47,1362.0
400mH,Men,45.55,1362.0
4x100m,Men,36.3,1362.0
4x200m,Men,1:16.35,1362.0
4x400m,Men,2:49.38,1362.0
110mH,Men,12.47,1361.0
200m,Men,19.13,1361.0
300m,Men,29.92,1361.0
400m,Men,42.48,1361.0
400mH,Men,45.57,1361.0
4x100m,Men,36.31,1361.0
4x200m,Men,1:16.38,1361.0
4x400m,Men,2:49.44,1361.0
300m,Men,29.93,1360.0
400m,Men,42.5,1360.0
400mH,Men,45.59,1360.0
4x100m,Men,36.32,1360.0
4x200m,Men,1:16.40,1360.0
4x400m,Men,2:49.50,1360.0
100m,Men,9.57,1359.0
110mH,Men,12.48,1359.0
200m,Men,19.14,1359.0
300m,Men,29.94,1359.0
400m,Men,42.51,1359.0
400mH,Men,45.61,1359.0
4x100m,Men,36.34,1359.0
4x200m,Men,1:16.43,1359.0
4x400m,Men,2:49.56,1359.0
300m,Men,29.95,1358.0
400m,Men,42.52,1358.0
400mH,Men,45.62,1358.0
4x100m,Men,36.35,1358.0
4x200m,Men,1:16.45,1358.0
4x400m,Men,2:49.62,1358.0
110mH,Men,12.49,1357.0
200m,Men,19.15,1357.0
300m,Men,29.96,1357.0
400m,Men,42.54,1357.0
400mH,Men,45.64,1357.0
4x100m,Men,36.36,1357.0
4x200m,Men,1:16.48,1357.0
4x400m,Men,2:49.68,1357.0
100m,Men,9.58,1356.0
200m,Men,19.16,1356.0
300m,Men,29.97,1356.0
400m,Men,42.55,1356.0
400mH,Men,45.66,1356.0
4x100m,Men,36.37,1356.0
4x200m,Men,1:16.50,1356.0
4x400m,Men,2:49.74,1356.0
300m,Men,29.98,1355.0
400m,Men,42.57,1355.0
400mH,Men,45.68,1355.0
4x100m,Men,36.38,1355.0
4x200m,Men,1:16.53,1355.0
4x400m,Men,2:49.80,1355.0
110mH,Men,12.5,1354.0
200m,Men,19.17,1354.0
300m,Men,29.99,1354.0
400m,Men,42.58,1354.0
400mH,Men,45.7,1354.0
4x100m,Men,36.4,1354.0
4x200m,Men,1:16.55,1354.0
4x400m,Men,2:49.86,1354.0
200m,Men,19.18,1353.0
300m,Men,30.0,1353.0
400m,Men,42.59,1353.0
400mH,Men,45.72,1353.0
4x100m,Men,36.41,1353.0
4x200m,Men,1:16.58,1353.0
4x400m,Men,2:49.92,1353.0
100m,Men,9.59,1352.0
110mH,Men,12.51,1352.0
300m,Men,30.01,1352.0
400m,Men,42.61,1352.0
400mH,Men,45.73,1352.0
4x100m,Men,36.42,1352.0
4x200m,Men,1:16.60,1352.0
4x400m,Men,2:49.98,1352.0
200m,Men,19.19,1351.0
300m,Men,30.02,1351.0
400m,Men,42.62,1351.0
400mH,Men,45.75,1351.0
4x100m,Men,36.43,1351.0
4x200m,Men,1:16.63,1351.0
4x400m,Men,2:50.04,1351.0
110mH,Men,12.52,1350.0
300m,Men,30.03,1350.0
400m,Men,42.63,1350.0
400mH,Men,45.77,1350.0
4x100m,Men,36.45,1350.0
4x200m,Men,1:16.65,1350.0
4x400m,Men,2:50.10,1350.0
200m,Men,19.2,1349.0
300m,Men,30.04,1349.0
400m,Men,42.65,1349.0
400mH,Men,45.79,1349.0
4x100m,Men,36.46,1349.0
4x200m,Men,1:16.68,1349.0
4x400m,Men,2:50.16,1349.0
100m,Men,9.6,1348.0
110mH,Men,12.53,1348.0
200m,Men,19.21,1348.0
300m,Men,30.05,1348.0
400m,Men,42.66,1348.0
400mH,Men,45.81,1348.0
4x100m,Men,36.47,1348.0
4x200m,Men,1:16.70,1348.0
4x400m,Men,2:50.23,1348.0
300m,Men,30.06,1347.0
400m,Men,42.67,1347.0
400mH,Men,45.83,1347.0
4x100m,Men,36.48,1347.0
4x200m,Men,1:16.73,1347.0
4x400m,Men,2:50.29,1347.0
110mH,Men,12.54,1346.0
200m,Men,19.22,1346.0
300m,Men,30.07,1346.0
400m,Men,42.69,1346.0
400mH,Men,45.84,1346.0
4x100m,Men,36.5,1346.0
4x200m,Men,1:16.75,1346.0
4x400m,Men,2:50.35,1346.0
100m,Men,9.61,1345.0
300m,Men,30.08,1345.0
400m,Men,42.7,1345.0
400mH,Men,45.86,1345.0
4x100m,Men,36.51,1345.0
