event,gender,performance,points
500m,MALE,1:06.66,874.0
4x200m,MALE,1:31.07,874.0
4x400m,MALE,3:26.30,874.0
300m,MALE,35.99,873.0
400m,MALE,50.76,873.0
500m,MALE,1:06.69,873.0
4x200m,MALE,1:31.10,873.0
4x400m,MALE,3:26.38,873.0
200m,MALE,22.84,872.0
300m,MALE,36.0,872.0
400m,MALE,50.78,872.0
500m,MALE,1:06.71,872.0
4x200m,MALE,1:31.13,872.0
4x400m,MALE,3:26.46,872.0
200m,MALE,22.85,871.0
300m,MALE,36.02,871.0
400m,MALE,50.8,871.0
500m,MALE,1:06.73,871.0
4x200m,MALE,1:31.16,871.0
4x400m,MALE,3:26.53,871.0
200m,MALE,22.86,870.0
300m,MALE,36.03,870.0
400m,MALE,50.81,870.0
500m,MALE,1:06.75,870.0
4x200m,MALE,1:31.19,870.0
4x400m,MALE,3:26.61,870.0
300m,MALE,36.04,869.0
400m,MALE,50.83,869.0
500m,MALE,1:06.78,869.0
4x200m,MALE,1:31.22,869.0
4x400m,MALE,3:26.69,869.0
200m,MALE,22.87,868.0
300m,MALE,36.05,868.0
400m,MALE,50.85,868.0
500m,MALE,1:06.80,868.0
4x200m,MALE,1:31.25,868.0
4x400m,MALE,3:26.76,868.0
200m,MALE,22.88,867.0
300m,MALE,36.07,867.0
400m,MALE,50.87,867.0
500m,MALE,1:06.82,867.0
4x200m,MALE,1:31.28,867.0
4x400m,MALE,3:26.84,867.0
200m,MALE,22.89,866.0
300m,MALE,36.08,866.0
400m,MALE,50.88,866.0
500m,MALE,1:06.84,866.0
4x200m,MALE,1:31.31,866.0
4x400m,MALE,3:26.92,866.0
300m,MALE,36.09,865.0
400m,MALE,50.9,865.0
500m,MALE,1:06.87,865.0
4x200m,MALE,1:31.34,865.0
4x400m,MALE,3:26.99,865.0
200m,MALE,22.9,864.0
300m,MALE,36.1,864.0
400m,MALE,50.92,864.0
500m,MALE,1:06.89,864.0
4x200m,MALE,1:31.37,864.0
4x400m,MALE,3:27.07,864.0
200m,MALE,22.91,863.0
300m,MALE,36.12,863.0
400m,MALE,50.94,863.0
500m,MALE,1:06.91,863.0
4x200m,MALE,1:31.40,863.0
4x400m,MALE,3:27.15,863.0
200m,MALE,22.92,862.0
300m,MALE,36.13,862.0
400m,MALE,50.95,862.0
500m,MALE,1:06.94,862.0
4x200m,MALE,1:31.43,862.0
4x400m,MALE,3:27.23,862.0
300m,MALE,36.14,861.0
400m,MALE,50.97,861.0
500m,MALE,1:06.96,861.0
4x200m,MALE,1:31.46,861.0
4x400m,MALE,3:27.30,861.0
200m,MALE,22.93,860.0
300m,MALE,36.16,860.0
400m,MALE,50.99,860.0
500m,MALE,1:06.98,860.0
4x200m,MALE,1:31.49,860.0
4x400m,MALE,3:27.38,860.0
200m,MALE,22.94,859.0
300m,MALE,36.17,859.0
400m,MALE,51.0,859.0
500m,MALE,1:07.00,859.0
4x200m,MALE,1:31.52,859.0
4x400m,MALE,3:27.46,859.0
200m,MALE,22.95,858.0
300m,MALE,36.18,858.0
400m,MALE,51.02,858.0
500m,MALE,1:07.03,858.0
4x200m,MALE,1:31.55,858.0
4x400m,MALE,3:27.53,858.0
200m,MALE,22.96,857.0
300m,MALE,36.19,857.0
400m,MALE,51.04,857.0
500m,MALE,1:07.05,857.0
4x200m,MALE,1:31.59,857.0
4x400m,MALE,3:27.61,857.0
300m,MALE,36.21,856.0
400m,MALE,51.06,856.0
500m,MALE,1:07.07,856.0
4x200m,MALE,1:31.62,856.0
4x400m,MALE,3:27.69,856.0
200m,MALE,22.97,855.0
300m,MALE,36.22,855.0
400m,MALE,51.07,855.0
500m,MALE,1:07.09,855.0
4x200m,MALE,1:31.65,855.0
4x400m,MALE,3:27.77,855.0
200m,MALE,22.98,854.0
300m,MALE,36.23,854.0
400m,MALE,51.09,854.0
500m,MALE,1:07.12,854.0
4x200m,MALE,1:31.68,854.0
4x400m,MALE,3:27.84,854.0
200m,MALE,22.99,853.0
300m,MALE,36.24,853.0
400m,MALE,51.11,853.0
500m,MALE,1:07.14,853.0
4x200m,MALE,1:31.71,853.0
4x400m,MALE,3:27.92,853.0
300m,MALE,36.26,852.0
400m,MALE,51.12,852.0
500m,MALE,1:07.16,852.0
4x200m,MALE,1:31.74,852.0
4x400m,MALE,3:28.00,852.0
200m,MALE,23.0,851.0
300m,MALE,36.27,851.0
400m,MALE,51.14,851.0
500m,MALE,1:07.19,851.0
4x200m,MALE,1:31.77,851.0
4x400m,MALE,3:28.08,851.0
200m,MALE,23.01,850.0
300m,MALE,36.28,850.0
400m,MALE,51.16,850.0
500m,MALE,1:07.21,850.0
4x200m,MALE,1:31.80,850.0
4x400m,MALE,3:28.15,850.0
200m,MALE,23.02,849.0
300m,MALE,36.3,849.0
400m,MALE,51.18,849.0
500m,MALE,1:07.23,849.0
4x200m,MALE,1:31.83,849.0
4x400m,MALE,3:28.23,849.0
300m,MALE,36.31,848.0
400m,MALE,51.19,848.0
500m,MALE,1:07.25,848.0
4x200m,MALE,1:31.86,848.0
4x400m,MALE,3:28.31,848.0
200m,MALE,23.03,847.0
300m,MALE,36.32,847.0
400m,MALE,51.21,847.0
500m,MALE,1:07.28,847.0
4x200m,MALE,1:31.89,847.0
4x400m,MALE,3:28.39,847.0
200m,MALE,23.04,846.0
300m,MALE,36.33,846.0
400m,MALE,51.23,846.0
500m,MALE,1:07.30,846.0
4x200m,MALE,1:31.92,846.0
4x400m,MALE,3:28.46,846.0
200m,MALE,23.05,845.0
300m,MALE,36.35,845.0
400m,MALE,51.25,845.0
500m,MALE,1:07.32,845.0
4x200m,MALE,1:31.95,845.0
4x400m,MALE,3:28.54,845.0
300m,MALE,36.36,844.0
400m,MALE,51.26,844.0
500m,MALE,1:07.35,844.0
4x200m,MALE,1:31.98,844.0
4x400m,MALE,3:28.62,844.0
200m,MALE,23.06,843.0
300m,MALE,36.37,843.0
400m,MALE,51.28,843.0
500m,MALE,1:07.37,843.0
4x200m,MALE,1:32.01,843.0
4x400m,MALE,3:28.70,843.0
200m,MALE,23.07,842.0
300m,MALE,36.38,842.0
400m,MALE,51.3,842.0
500m,MALE,1:07.39,842.0
4x200m,MALE,1:32.05,842.0
4x400m,MALE,3:28.77,842.0
200m,MALE,23.08,841.0
300m,MALE,36.4,841.0
400m,MALE,51.32,841.0
500m,MALE,1:07.41,841.0
4x200m,MALE,1:32.08,841.0
4x400m,MALE,3:28.85,841.0
200m,MALE,23.09,840.0
300m,MALE,36.41,840.0
400m,MALE,51.33,840.0
500m,MALE,1:07.44,840.0
4x200m,MALE,1:32.11,840.0
4x400m,MALE,3:28.93,840.0
300m,MALE,36.42,839.0
400m,MALE,51.35,839.0
500m,MALE,1:07.46,839.0
4x200m,MALE,1:32.14,839.0
4x400m,MALE,3:29.01,839.0
200m,MALE,23.1,838.0
300m,MALE,36.44,838.0
400m,MALE,51.37,838.0
500m,MALE,1:07.48,838.0
4x200m,MALE,1:32.17,838.0
4x400m,MALE,3:29.09,838.0
200m,MALE,23.11,837.0
300m,MALE,36.45,837.0
400m,MALE,51.39,837.0
500m,MALE,1:07.51,837.0
4x200m,MALE,1:32.20,837.0
4x400m,MALE,3:29.16,837.0
200m,MALE,23.12,836.0
300m,MALE,36.46,836.0
400m,MALE,51.4,836.0
500m,MALE,1:07.53,836.0
4x200m,MALE,1:32.23,836.0
4x400m,MALE,3:29.24,836.0
300m,MALE,36.47,835.0
400m,MALE,51.42,835.0
500m,MALE,1:07.55,835.0
4x200m,MALE,1:32.26,835.0
4x400m,MALE,3:29.32,835.0
200m,MALE,23.13,834.0
300m,MALE,36.49,834.0
400m,MALE,51.44,834.0
500m,MALE,1:07.57,834.0
4x200m,MALE,1:32.29,834.0
4x400m,MALE,3:29.40,834.0
200m,MALE,23.14,833.0
300m,MALE,36.5,833.0
400m,MALE,51.46,833.0
500m,MALE,1:07.60,833.0
4x200m,MALE,1:32.32,833.0
4x400m,MALE,3:29.48,833.0
200m,MALE,23.15,832.0
300m,MALE,36.51,832.0
400m,MALE,51.47,832.0
500m,MALE,1:07.62,832.0
4x200m,MALE,1:32.36,832.0
4x400m,MALE,3:29.56,832.0
300m,MALE,36.53,831.0
400m,MALE,51.49,831.0
500m,MALE,1:07.64,831.0
4x200m,MALE,1:32.39,831.0
4x400m,MALE,3:29.63,831.0
200m,MALE,23.16,830.0
300m,MALE,36.54,830.0
400m,MALE,51.51,830.0
500m,MALE,1:07.67,830.0
4x200m,MALE,1:32.42,830.0
4x400m,MALE,3:29.71,830.0
200m,MALE,23.17,829.0
300m,MALE,36.55,829.0
400m,MALE,51.53,829.0
500m,MALE,1:07.69,829.0
4x200m,MALE,1:32.45,829.0
4x400m,MALE,3:29.79,829.0
200m,MALE,23.18,828.0
300m,MALE,36.57,828.0
400m,MALE,51.54,828.0
500m,MALE,1:07.71,828.0
4x200m,MALE,1:32.48,828.0
4x400m,MALE,3:29.87,828.0
200m,MALE,23.19,827.0
300m,MALE,36.58,827.0
400m,MALE,51.56,827.0
500m,MALE,1:07.74,827.0
4x200m,MALE,1:32.51,827.0
4x400m,MALE,3:29.95,827.0
300m,MALE,36.59,826.0
400m,MALE,51.58,826.0
500m,MALE,1:07.76,826.0
4x200m,MALE,1:32.54,826.0
4x400m,MALE,3:30.03,826.0
200m,MALE,23.2,825.0
300m,MALE,36.6,825.0
400m,MALE,51.6,825.0
500m,MALE,1:07.78,825.0
4x200m,MALE,1:32.57,825.0
4x400m,MALE,3:30.11,825.0
200m,MALE,23.21,824.0
300m,MALE,36.62,824.0
400m,MALE,51.61,824.0
500m,MALE,1:07.81,824.0
4x200m,MALE,1:32.60,824.0
4x400m,MALE,3:30.18,824.0
200m,MALE,23.22,823.0
300m,MALE,36.63,823.0
400m,MALE,51.63,823.0
500m,MALE,1:07.83,823.0
4x200m,MALE,1:32.64,823.0
4x400m,MALE,3:30.26,823.0
300m,MALE,36.64,822.0
400m,MALE,51.65,822.0
500m,MALE,1:07.85,822.0
4x200m,MALE,1:32.67,822.0
4x400m,MALE,3:30.34,822.0
200m,MALE,23.23,821.0
300m,MALE,36.66,821.0
400m,MALE,51.67,821.0
500m,MALE,1:07.88,821.0
4x200m,MALE,1:32.70,821.0
4x400m,MALE,3:30.42,821.0
200m,MALE,23.24,820.0
300m,MALE,36.67,820.0
400m,MALE,51.68,820.0
500m,MALE,1:07.90,820.0
4x200m,MALE,1:32.73,820.0
4x400m,MALE,3:30.50,820.0
200m,MALE,23.25,819.0
300m,MALE,36.68,819.0
400m,MALE,51.7,819.0
500m,MALE,1:07.92,819.0
4x200m,MALE,1:32.76,819.0
4x400m,MALE,3:30.58,819.0
200m,MALE,23.26,818.0
300m,MALE,36.7,818.0
400m,MALE,51.72,818.0
500m,MALE,1:07.95,818.0
4x200m,MALE,1:32.79,818.0
4x400m,MALE,3:30.66,818.0
300m,MALE,36.71,817.0
400m,MALE,51.74,817.0
500m,MALE,1:07.97,817.0
4x200m,MALE,1:32.82,817.0
4x400m,MALE,3:30.74,817.0
200m,MALE,23.27,816.0
300m,MALE,36.72,816.0
400m,MALE,51.75,816.0
500m,MALE,1:07.99,816.0
4x200m,MALE,1:32.85,816.0
4x400m,MALE,3:30.82,816.0
200m,MALE,23.28,815.0
300m,MALE,36.73,815.0
400m,MALE,51.77,815.0
500m,MALE,1:08.02,815.0
4x200m,MALE,1:32.89,815.0
4x400m,MALE,3:30.90,815.0
200m,MALE,23.29,814.0
300m,MALE,36.75,814.0
400m,MALE,51.79,814.0
500m,MALE,1:08.04,814.0
4x200m,MALE,1:32.92,814.0
4x400m,MALE,3:30.97,814.0
300m,MALE,36.76,813.0
400m,MALE,51.81,813.0
500m,MALE,1:08.06,813.0
4x200m,MALE,1:32.95,813.0
4x400m,MALE,3:31.05,813.0
200m,MALE,23.3,812.0
300m,MALE,36.77,812.0
400m,MALE,51.82,812.0
500m,MALE,1:08.08,812.0
4x200m,MALE,1:32.98,812.0
4x400m,MALE,3:31.13,812.0
200m,MALE,23.31,811.0
300m,MALE,36.79,811.0
400m,MALE,51.84,811.0
500m,MALE,1:08.11,811.0
4x200m,MALE,1:33.01,811.0
4x400m,MALE,3:31.21,811.0
200m,MALE,23.32,810.0
300m,MALE,36.8,810.0
400m,MALE,51.86,810.0
500m,MALE,1:08.13,810.0
4x200m,MALE,1:33.04,810.0
4x400m,MALE,3:31.29,810.0
200m,MALE,23.33,809.0
300m,MALE,36.81,809.0
400m,MALE,51.88,809.0
500m,MALE,1:08.16,809.0
4x200m,MALE,1:33.07,809.0
4x400m,MALE,3:31.37,809.0
300m,MALE,36.83,808.0
400m,MALE,51.9,808.0
500m,MALE,1:08.18,808.0
4x200m,MALE,1:33.11,808.0
4x400m,MALE,3:31.45,808.0
200m,MALE,23.34,807.0
300m,MALE,36.84,807.0
400m,MALE,51.91,807.0
500m,MALE,1:08.20,807.0
4x200m,MALE,1:33.14,807.0
4x400m,MALE,3:31.53,807.0
200m,MALE,23.35,806.0
300m,MALE,36.85,806.0
400m,MALE,51.93,806.0
500m,MALE,1:08.23,806.0
4x200m,MALE,1:33.17,806.0
4x400m,MALE,3:31.61,806.0
200m,MALE,23.36,805.0
300m,MALE,36.86,805.0
400m,MALE,51.95,805.0
500m,MALE,1:08.25,805.0
4x200m,MALE,1:33.20,805.0
4x400m,MALE,3:31.69,805.0
300m,MALE,36.88,804.0
400m,MALE,51.97,804.0
500m,MALE,1:08.27,804.0
4x200m,MALE,1:33.23,804.0
4x400m,MALE,3:31.77,804.0
200m,MALE,23.37,803.0
300m,MALE,36.89,803.0
400m,MALE,51.98,803.0
500m,MALE,1:08.30,803.0
4x200m,MALE,1:33.26,803.0
4x400m,MALE,3:31.85,803.0
200m,MALE,23.38,802.0
300m,MALE,36.9,802.0
400m,MALE,52.0,802.0
500m,MALE,1:08.32,802.0
4x200m,MALE,1:33.29,802.0
4x400m,MALE,3:31.93,802.0
200m,MALE,23.39,801.0
300m,MALE,36.92,801.0
400m,MALE,52.02,801.0
500m,MALE,1:08.34,801.0
4x200m,MALE,1:33.33,801.0
4x400m,MALE,3:32.01,801.0
200m,MALE,23.4,800.0
300m,MALE,36.93,800.0
400m,MALE,52.04,800.0
500m,MALE,1:08.37,800.0
4x200m,MALE,1:33.36,800.0
4x400m,MALE,3:32.09,800.0
300m,MALE,36.94,799.0
400m,MALE,52.06,799.0
500m,MALE,1:08.39,799.0
4x200m,MALE,1:33.39,799.0
4x400m,MALE,3:32.17,799.0
200m,MALE,23.41,798.0
300m,MALE,36.96,798.0
400m,MALE,52.07,798.0
500m,MALE,1:08.41,798.0
4x200m,MALE,1:33.42,798.0
4x400m,MALE,3:32.25,798.0
200m,MALE,23.42,797.0
300m,MALE,36.97,797.0
400m,MALE,52.09,797.0
500m,MALE,1:08.44,797.0
4x200m,MALE,1:33.45,797.0
4x400m,MALE,3:32.33,797.0
200m,MALE,23.43,796.0
300m,MALE,36.98,796.0
400m,MALE,52.11,796.0
500m,MALE,1:08.46,796.0
4x200m,MALE,1:33.48,796.0
4x400m,MALE,3:32.41,796.0
200m,MALE,23.44,795.0
300m,MALE,37.0,795.0
400m,MALE,52.13,795.0
500m,MALE,1:08.48,795.0
4x200m,MALE,1:33.52,795.0
4x400m,MALE,3:32.49,795.0
300m,MALE,37.01,794.0
400m,MALE,52.15,794.0
500m,MALE,1:08.51,794.0
4x200m,MALE,1:33.55,794.0
4x400m,MALE,3:32.57,794.0
200m,MALE,23.45,793.0
300m,MALE,37.02,793.0
400m,MALE,52.16,793.0
500m,MALE,1:08.53,793.0
4x200m,MALE,1:33.58,793.0
4x400m,MALE,3:32.65,793.0
200m,MALE,23.46,792.0
300m,MALE,37.04,792.0
400m,MALE,52.18,792.0
500m,MALE,1:08.55,792.0
4x200m,MALE,1:33.61,792.0
4x400m,MALE,3:32.73,792.0
200m,MALE,23.47,791.0
300m,MALE,37.05,791.0
400m,MALE,52.2,791.0
500m,MALE,1:08.58,791.0
4x200m,MALE,1:33.64,791.0
4x400m,MALE,3:32.81,791.0
200m,MALE,23.48,790.0
300m,MALE,37.06,790.0
400m,MALE,52.22,790.0
500m,MALE,1:08.60,790.0
4x200m,MALE,1:33.68,790.0
4x400m,MALE,3:32.89,790.0
300m,MALE,37.08,789.0
400m,MALE,52.24,789.0
500m,MALE,1:08.63,789.0
4x200m,MALE,1:33.71,789.0
4x400m,MALE,3:32.97,789.0
200m,MALE,23.49,788.0
300m,MALE,37.09,788.0
400m,MALE,52.25,788.0
500m,MALE,1:08.65,788.0
4x200m,MALE,1:33.74,788.0
4x400m,MALE,3:33.05,788.0
200m,MALE,23.5,787.0
300m,MALE,37.1,787.0
400m,MALE,52.27,787.0
500m,MALE,1:08.67,787.0
4x200m,MALE,1:33.77,787.0
4x400m,MALE,3:33.13,787.0
200m,MALE,23.51,786.0
300m,MALE,37.12,786.0
400m,MALE,52.29,786.0
500m,MALE,1:08.70,786.0
4x200m,MALE,1:33.80,786.0
4x400m,MALE,3:33.21,786.0
300m,MALE,37.13,785.0
400m,MALE,52.31,785.0
500m,MALE,1:08.72,785.0
4x200m,MALE,1:33.83,785.0
4x400m,MALE,3:33.29,785.0
200m,MALE,23.52,784.0
300m,MALE,37.14,784.0
400m,MALE,52.33,784.0
500m,MALE,1:08.74,784.0
4x200m,MALE,1:33.87,784.0
4x400m,MALE,3:33.37,784.0
200m,MALE,23.53,783.0
300m,MALE,37.16,783.0
400m,MALE,52.34,783.0
500m,MALE,1:08.77,783.0
4x200m,MALE,1:33.90,783.0
4x400m,MALE,3:33.46,783.0
200m,MALE,23.54,782.0
300m,MALE,37.17,782.0
400m,MALE,52.36,782.0
500m,MALE,1:08.79,782.0
4x200m,MALE,1:33.93,782.0
4x400m,MALE,3:33.54,782.0
200m,MALE,23.55,781.0
300m,MALE,37.18,781.0
400m,MALE,52.38,781.0
500m,MALE,1:08.82,781.0
4x200m,MALE,1:33.96,781.0
4x400m,MALE,3:33.62,781.0
300m,MALE,37.2,780.0
400m,MALE,52.4,780.0
500m,MALE,1:08.84,780.0
4x200m,MALE,1:34.00,780.0
4x400m,MALE,3:33.70,780.0
200m,MALE,23.56,779.0
300m,MALE,37.21,779.0
400m,MALE,52.42,779.0
500m,MALE,1:08.86,779.0
4x200m,MALE,1:34.03,779.0
4x400m,MALE,3:33.78,779.0
200m,MALE,23.57,778.0
300m,MALE,37.22,778.0
400m,MALE,52.43,778.0
500m,MALE,1:08.89,778.0
4x200m,MALE,1:34.06,778.0
4x400m,MALE,3:33.86,778.0
200m,MALE,23.58,777.0
300m,MALE,37.24,777.0
400m,MALE,52.45,777.0
500m,MALE,1:08.91,777.0
4x200m,MALE,1:34.09,777.0
4x400m,MALE,3:33.94,777.0
200m,MALE,23.59,776.0
300m,MALE,37.25,776.0
400m,MALE,52.47,776.0
500m,MALE,1:08.93,776.0
4x200m,MALE,1:34.12,776.0
4x400m,MALE,3:34.02,776.0
300m,MALE,37.26,775.0
400m,MALE,52.49,775.0
500m,MALE,1:08.96,775.0
4x200m,MALE,1:34.16,775.0
4x400m,MALE,3:34.10,775.0
200m,MALE,23.6,774.0
300m,MALE,37.28,774.0
400m,MALE,52.51,774.0
500m,MALE,1:08.98,774.0
4x200m,MALE,1:34.19,774.0
4x400m,MALE,3:34.18,774.0
200m,MALE,23.61,773.0
300m,MALE,37.29,773.0
400m,MALE,52.52,773.0
500m,MALE,1:09.01,773.0
4x200m,MALE,1:34.22,773.0
4x400m,MALE,3:34.27,773.0
200m,MALE,23.62,772.0
300m,MALE,37.3,772.0
400m,MALE,52.54,772.0
500m,MALE,1:09.03,772.0
4x200m,MALE,1:34.25,772.0
4x400m,MALE,3:34.35,772.0
200m,MALE,23.63,771.0
300m,MALE,37.32,771.0
400m,MALE,52.56,771.0
500m,MALE,1:09.05,771.0
4x200m,MALE,1:34.28,771.0
4x400m,MALE,3:34.43,771.0
300m,MALE,37.33,770.0
400m,MALE,52.58,770.0
500m,MALE,1:09.08,770.0
4x200m,MALE,1:34.32,770.0
4x400m,MALE,3:34.51,770.0
200m,MALE,23.64,769.0
300m,MALE,37.34,769.0
400m,MALE,52.6,769.0
500m,MALE,1:09.10,769.0
4x200m,MALE,1:34.35,769.0
4x400m,MALE,3:34.59,769.0
200m,MALE,23.65,768.0
300m,MALE,37.36,768.0
400m,MALE,52.62,768.0
500m,MALE,1:09.13,768.0
4x200m,MALE,1:34.38,768.0
4x400m,MALE,3:34.67,768.0
200m,MALE,23.66,767.0
300m,MALE,37.37,767.0
400m,MALE,52.63,767.0
500m,MALE,1:09.15,767.0
4x200m,MALE,1:34.41,767.0
4x400m,MALE,3:34.75,767.0
200m,MALE,23.67,766.0
300m,MALE,37.38,766.0
400m,MALE,52.65,766.0
500m,MALE,1:09.17,766.0
4x200m,MALE,1:34.45,766.0
4x400m,MALE,3:34.84,766.0
300m,MALE,37.4,765.0
400m,MALE,52.67,765.0
500m,MALE,1:09.20,765.0
4x200m,MALE,1:34.48,765.0
4x400m,MALE,3:34.92,765.0
200m,MALE,23.68,764.0
300m,MALE,37.41,764.0
400m,MALE,52.69,764.0
500m,MALE,1:09.22,764.0
4x200m,MALE,1:34.51,764.0
4x400m,MALE,3:35.00,764.0
200m,MALE,23.69,763.0
300m,MALE,37.42,763.0
400m,MALE,52.71,763.0
500m,MALE,1:09.25,763.0
4x200m,MALE,1:34.54,763.0
4x400m,MALE,3:35.08,763.0
200m,MALE,23.7,762.0
300m,MALE,37.44,762.0
400m,MALE,52.72,762.0
500m,MALE,1:09.27,762.0
4x200m,MALE,1:34.58,762.0
4x400m,MALE,3:35.16,762.0
200m,MALE,23.71,761.0
300m,MALE,37.45,761.0
400m,MALE,52.74,761.0
500m,MALE,1:09.29,761.0
4x200m,MALE,1:34.61,761.0
4x400m,MALE,3:35.25,761.0
200m,MALE,23.72,760.0
300m,MALE,37.46,760.0
400m,MALE,52.76,760.0
500m,MALE,1:09.32,760.0
4x200m,MALE,1:34.64,760.0
4x400m,MALE,3:35.33,760.0
300m,MALE,37.48,759.0
400m,MALE,52.78,759.0
500m,MALE,1:09.34,759.0
4x200m,MALE,1:34.67,759.0
4x400m,MALE,3:35.41,759.0
200m,MALE,23.73,758.0
300m,MALE,37.49,758.0
400m,MALE,52.8,758.0
500m,MALE,1:09.37,758.0
4x200m,MALE,1:34.71,758.0
4x400m,MALE,3:35.49,758.0
200m,MALE,23.74,757.0
300m,MALE,37.5,757.0
400m,MALE,52.82,757.0
500m,MALE,1:09.39,757.0
4x200m,MALE,1:34.74,757.0
4x400m,MALE,3:35.57,757.0
200m,MALE,23.75,756.0
300m,MALE,37.52,756.0
400m,MALE,52.83,756.0
500m,MALE,1:09.42,756.0
4x200m,MALE,1:34.77,756.0
4x400m,MALE,3:35.66,756.0
200m,MALE,23.76,755.0
300m,MALE,37.53,755.0
400m,MALE,52.85,755.0
500m,MALE,1:09.44,755.0
4x200m,MALE,1:34.80,755.0
4x400m,MALE,3:35.74,755.0
300m,MALE,37.55,754.0
400m,MALE,52.87,754.0
500m,MALE,1:09.46,754.0
4x200m,MALE,1:34.84,754.0
4x400m,MALE,3:35.82,754.0
200m,MALE,23.77,753.0
300m,MALE,37.56,753.0
400m,MALE,52.89,753.0
500m,MALE,1:09.49,753.0
4x200m,MALE,1:34.87,753.0
4x400m,MALE,3:35.90,753.0
200m,MALE,23.78,752.0
300m,MALE,37.57,752.0
400m,MALE,52.91,752.0
500m,MALE,1:09.51,752.0
4x200m,MALE,1:34.90,752.0
4x400m,MALE,3:35.99,752.0
200m,MALE,23.79,751.0
300m,MALE,37.59,751.0
400m,MALE,52.93,751.0
500m,MALE,1:09.54,751.0
4x200m,MALE,1:34.93,751.0
4x400m,MALE,3:36.07,751.0
200m,MALE,23.8,750.0
300m,MALE,37.6,750.0
400m,MALE,52.94,750.0
500m,MALE,1:09.56,750.0
4x200m,MALE,1:34.97,750.0
4x400m,MALE,3:36.15,750.0
300m,MALE,37.61,749.0
400m,MALE,52.96,749.0
500m,MALE,1:09.59,749.0
4x200m,MALE,1:35.00,749.0
4x400m,MALE,3:36.23,749.0
200m,MALE,23.81,748.0
300m,MALE,37.63,748.0
400m,MALE,52.98,748.0
500m,MALE,1:09.61,748.0
4x200m,MALE,1:35.03,748.0
4x400m,MALE,3:36.32,748.0
200m,MALE,23.82,747.0
300m,MALE,37.64,747.0
400m,MALE,53.0,747.0
500m,MALE,1:09.63,747.0
4x200m,MALE,1:35.06,747.0
4x400m,MALE,3:36.40,747.0
200m,MALE,23.83,746.0
300m,MALE,37.65,746.0
400m,MALE,53.02,746.0
500m,MALE,1:09.66,746.0
4x200m,MALE,1:35.10,746.0
4x400m,MALE,3:36.48,746.0
200m,MALE,23.84,745.0
300m,MALE,37.67,745.0
400m,MALE,53.04,745.0
500m,MALE,1:09.68,745.0
4x200m,MALE,1:35.13,745.0
4x400m,MALE,3:36.56,745.0
200m,MALE,23.85,744.0
300m,MALE,37.68,744.0
400m,MALE,53.06,744.0
500m,MALE,1:09.71,744.0
4x200m,MALE,1:35.16,744.0
4x400m,MALE,3:36.65,744.0
300m,MALE,37.69,743.0
400m,MALE,53.07,743.0
500m,MALE,1:09.73,743.0
4x200m,MALE,1:35.20,743.0
4x400m,MALE,3:36.73,743.0
200m,MALE,23.86,742.0
300m,MALE,37.71,742.0
400m,MALE,53.09,742.0
500m,MALE,1:09.76,742.0
4x200m,MALE,1:35.23,742.0
4x400m,MALE,3:36.81,742.0
200m,MALE,23.87,741.0
300m,MALE,37.72,741.0
400m,MALE,53.11,741.0
500m,MALE,1:09.78,741.0
4x200m,MALE,1:35.26,741.0
4x400m,MALE,3:36.90,741.0
200m,MALE,23.88,740.0
300m,MALE,37.74,740.0
400m,MALE,53.13,740.0
500m,MALE,1:09.80,740.0
4x200m,MALE,1:35.29,740.0
4x400m,MALE,3:36.98,740.0
200m,MALE,23.89,739.0
300m,MALE,37.75,739.0
400m,MALE,53.15,739.0
500m,MALE,1:09.83,739.0
4x200m,MALE,1:35.33,739.0
4x400m,MALE,3:37.06,739.0
300m,MALE,37.76,738.0
400m,MALE,53.17,738.0
500m,MALE,1:09.85,738.0
4x200m,MALE,1:35.36,738.0
4x400m,MALE,3:37.15,738.0
200m,MALE,23.9,737.0
300m,MALE,37.78,737.0
400m,MALE,53.19,737.0
500m,MALE,1:09.88,737.0
4x200m,MALE,1:35.39,737.0
4x400m,MALE,3:37.23,737.0
200m,MALE,23.91,736.0
300m,MALE,37.79,736.0
400m,MALE,53.2,736.0
500m,MALE,1:09.90,736.0
4x200m,MALE,1:35.43,736.0
4x400m,MALE,3:37.31,736.0
200m,MALE,23.92,735.0
300m,MALE,37.8,735.0
400m,MALE,53.22,735.0
500m,MALE,1:09.93,735.0
4x200m,MALE,1:35.46,735.0
4x400m,MALE,3:37.40,735.0
200m,MALE,23.93,734.0
300m,MALE,37.82,734.0
400m,MALE,53.24,734.0
500m,MALE,1:09.95,734.0
4x200m,MALE,1:35.49,734.0
4x400m,MALE,3:37.48,734.0
200m,MALE,23.94,733.0
300m,MALE,37.83,733.0
400m,MALE,53.26,733.0
500m,MALE,1:09.98,733.0
4x200m,MALE,1:35.52,733.0
4x400m,MALE,3:37.56,733.0
300m,MALE,37.85,732.0
400m,MALE,53.28,732.0
500m,MALE,1:10.00,732.0
4x200m,MALE,1:35.56,732.0
4x400m,MALE,3:37.65,732.0
200m,MALE,23.95,731.0
300m,MALE,37.86,731.0
400m,MALE,53.3,731.0
500m,MALE,1:10.03,731.0
4x200m,MALE,1:35.59,731.0
4x400m,MALE,3:37.73,731.0
200m,MALE,23.96,730.0
300m,MALE,37.87,730.0
400m,MALE,53.32,730.0
500m,MALE,1:10.05,730.0
4x200m,MALE,1:35.62,730.0
4x400m,MALE,3:37.81,730.0
